    n       list         bst
-----  ---------  ----------
 1000  0.0154101  0.00168296
 2000  0.0487966  0.00362335
 3000  0.112433   0.00784008
 4000  0.200467   0.0102687
 5000  0.311604   0.0126061
 6000  0.447699   0.0150762
 7000  0.612312   0.0192583
 8000  0.795758   0.0197395
 9000  1.00892    0.0248946
10000  1.24693    0.0276215
11000  1.53349    0.0290642
12000  1.83111    0.0339133
13000  2.10296    0.036817
14000  2.45998    0.0389173
15000  2.84126    0.0418838
16000  3.20156    0.0443009
17000  3.65663    0.0492088
18000  4.03073    0.0527299
19000  4.50626    0.0543721
20000  5.0666     0.057434
