    n        list         bst
-----  ----------  ----------
 1000  0.00020999  0.00156401
 2000  0.000404    0.003459
 3000  0.00059275  0.00537956
 4000  0.0007877   0.00765621
 5000  0.00094787  0.0099377
 6000  0.00118967  0.0123574
 7000  0.00139323  0.0143149
 8000  0.00155035  0.0170887
 9000  0.00176179  0.0202547
10000  0.0021078   0.0225261
11000  0.00226404  0.0241206
12000  0.00230698  0.026894
13000  0.00255555  0.0297084
14000  0.00285553  0.032023
15000  0.00309193  0.0347366
16000  0.00375355  0.0371899
17000  0.00408989  0.0399178
18000  0.00429452  0.0433363
19000  0.00465797  0.0450885
20000  0.00416039  0.0482385
