    n       list         bst
-----  ---------  ----------
 1000  0.0167133  0.00061822
 2000  0.0667124  0.00130288
 3000  0.152035   0.00208293
 4000  0.273443   0.00301181
 5000  0.427472   0.00373749
 6000  0.615086   0.00467595
 7000  0.8412     0.00550199
 8000  1.0961     0.00650809
 9000  1.39149    0.00770175
10000  1.71488    0.00853183
11000  2.11126    0.00930366
12000  2.52584    0.0105098
13000  2.90488    0.0115872
14000  3.44783    0.0123129
15000  3.94511    0.0134511
16000  4.45363    0.0142976
17000  5.12456    0.0155197
18000  5.61808    0.0170436
19000  6.30982    0.0177827
20000  7.21286    0.0187588
