    n       list         bst
-----  ---------  ----------
 1000  0.020319   0.00154129
 2000  0.0492057  0.00362804
 3000  0.113291   0.00571063
 4000  0.211717   0.00808837
 5000  0.321159   0.0103459
 6000  0.493403   0.0210225
 7000  0.642158   0.01472
 8000  0.898811   0.0169863
 9000  1.13812    0.019363
10000  1.3931     0.0232739
11000  1.66862    0.0249427
12000  2.03044    0.0334411
13000  2.44849    0.0295013
14000  2.83736    0.0346959
15000  3.0015     0.0425019
16000  3.55978    0.037535
17000  3.95002    0.041606
18000  3.97622    0.0489675
19000  4.44712    0.0488295
20000  4.88221    0.0507855
