    n        list         bst
-----  ----------  ----------
 1000  0.00026454  0.00139783
 2000  0.00041783  0.00321562
 3000  0.00057967  0.00543292
 4000  0.00075183  0.00760721
 5000  0.00099958  0.00976275
 6000  0.00114471  0.0116035
 7000  0.00131708  0.0139554
 8000  0.00181317  0.0159439
 9000  0.001785    0.0183635
10000  0.00201129  0.0221269
11000  0.00229283  0.0236676
12000  0.00224963  0.0252604
13000  0.002915    0.0278255
14000  0.00361238  0.0328104
15000  0.0037885   0.0322195
16000  0.00329237  0.0343099
17000  0.00327179  0.0398173
18000  0.00344892  0.0392453
19000  0.00363154  0.0469739
20000  0.00385996  0.045328
