    n       list         bst
-----  ---------  ----------
 1000  0.0215709  0.00071525
 2000  0.0686109  0.00125375
 3000  0.154897   0.00206092
 4000  0.287166   0.002955
 5000  0.458868   0.00367546
 6000  0.672427   0.00447212
 7000  0.949938   0.00530654
 8000  1.27901    0.00615746
 9000  1.62065    0.00690054
10000  1.80927    0.00848558
11000  2.31096    0.00888325
12000  2.81777    0.00963
13000  3.2658     0.010895
14000  3.61953    0.0143295
15000  4.62011    0.012704
16000  5.2768     0.0138642
17000  6.15782    0.0150923
18000  5.52041    0.0151484
19000  6.16788    0.0177117
20000  6.82476    0.0181694
