    n    bst height    avl height
-----  ------------  ------------
 1000            21            12
 2000            24            13
 3000            26            13
 4000            28            14
 5000            27            14
 6000            28            15
 7000            29            15
 8000            29            15
 9000            29            16
10000            31            16
11000            31            16
12000            33            16
13000            32            16
14000            33            16
15000            32            16
16000            32            16
17000            32            16
18000            35            17
19000            34            17
20000            33            17
