    n       list         bst
-----  ---------  ----------
 1000  0.0153787  0.00156622
 2000  0.0486828  0.00358307
 3000  0.112149   0.00767445
 4000  0.199699   0.00982173
 5000  0.310867   0.012073
 6000  0.446499   0.0142469
 7000  0.606297   0.0183697
 8000  0.792045   0.0190831
 9000  1.03483    0.0234413
10000  1.28755    0.0258316
11000  1.51073    0.0284245
12000  1.78455    0.0328702
13000  2.09661    0.0353521
14000  2.43253    0.0382218
15000  2.77995    0.0404608
16000  3.16201    0.0431264
17000  3.59259    0.0475659
18000  4.05578    0.0502188
19000  4.4422     0.0525623
20000  4.95129    0.0547974
