    n        list         bst
-----  ----------  ----------
 1000  0.0002048   0.00145289
 2000  0.00039012  0.00344613
 3000  0.00057058  0.00514696
 4000  0.00075239  0.00732648
 5000  0.00094399  0.00937567
 6000  0.00116185  0.0115684
 7000  0.00136463  0.0134282
 8000  0.00156114  0.0162746
 9000  0.0018278   0.0185475
10000  0.00208541  0.0209337
11000  0.00219343  0.0234736
12000  0.00245775  0.0258625
13000  0.00273823  0.0281881
14000  0.00296724  0.0313402
15000  0.00333908  0.0328453
16000  0.00366822  0.0359138
17000  0.00396455  0.0378376
18000  0.00424864  0.0406312
19000  0.00467683  0.0426758
20000  0.00488192  0.0453931
