    n       list         bst
-----  ---------  ----------
 1000  0.0166832  0.00060919
 2000  0.067289   0.00127928
 3000  0.152802   0.00218043
 4000  0.27348    0.0028896
 5000  0.437316   0.0037995
 6000  0.615179   0.00452787
 7000  0.837384   0.00555743
 8000  1.12296    0.00642226
 9000  1.44298    0.0075724
10000  1.78045    0.00835211
11000  2.07854    0.00929564
12000  2.46971    0.0104993
13000  2.90309    0.0113594
14000  3.36638    0.0122643
15000  3.87609    0.0133882
16000  4.40786    0.0144911
17000  5.02729    0.0153495
18000  5.61829    0.016631
19000  6.27451    0.0172519
20000  6.96827    0.0186011
